Range GridFID=A3:B895,,FIDRangeXY is $B$4:$E$895,,,,,,,,,Range=TimeRange,,Range=Hourttime,
Range Name AddressXY,,,,,,,Range Name CASE#FID,,,,00:00,T1,0,T1
Adress,FID,Building Name,X,Y,,,Case,FID,Signal,,0.083333,T2,2,T2
5513 Geo E Merrick St,52,Student Health Center,894509.60100000002,504011.56800000003,,,07000601,###,38,,,,,
5600 Geo E Merrick St,55,Building #21 - Guidance Center,894213.16599999997,503867.28399999999,,,07000603,###,#N/A,,,,,
5615 Pavia St,54,Pavia Garage,894485.30200000003,503768.17499999999,,,07000603,###,27,,,,,
5616 Geo E Merrick St,56,Building #22 - Brunstetter,894333.75800000003,503613.75900000002,,,07000619,###,#N/A,,,,,
5638 Geo E Merrick St,57,Building #23 - Grosvenor,894488.27500000002,503394.261,,,07000619,###,26,,,,,
"5665 Ponce de Leon BLVD, Flipse",123,Flipse Building,893056.50699999998,501950.05499999999,,,07000621,###,#N/A,,,,,
"5665 Ponce de Leon BLVD, Garage",122,Ponce Garage,892871.05299999996,501865.95600000001,,,07000621,###,14lpr,,,,,
5685 Ponce de Leon BLVD,89,Ron Fraser Baseball Building,892528.973,501450.652,,,07000623,###,#N/A,,,,,
"5779 San Amaro DR, Yaron Field House",78,Yaron Field House Storage,892599.21799999999,503149.25400000002,,,07000623,###,27,,,,,
5801 Red Road,120,Old School of Nursing - to be demolished,891426.14199999999,502715.17,,,07000629,###,#N/A,,,,,
"5801 San Amaro DR, Tennis Building",79,"Tennis Building, Neil Schiff",892347.24699999997,502912.07500000001,,,07000629,###,14tpw,,,,,
"5801 San Amaro DR, Tennis Center",80,"Tennis Center, Neil Schiff",892360.52,503032.47899999999,,,07000645,###,#N/A,,,,,
5813 Ponce de Leon BLVD,91,William L. McKnight Building,892276.28300000005,501189.15100000001,,,07000645,###,14lpr,,,,,
"5821 Hurricane DR, Center",82,Hecht Athletic Center,892358.66299999994,502658.90399999998,,,07000649,###,#N/A,,,,,
"5821 San Amaro DR, Fame",84,Hall of Fame,892327.304,502522.777,,,07000649,###,26v,,,,,
"5821 San Amaro DR, Sports",83,Knight Sports Complex,892481.29700000002,502538.70199999999,,,07000651,###,#N/A,,,,,
5850 San Amaro DR,111,Building 1,892024.495,502487.71799999999,,,07000651,###,#N/A,,,,,
5915 Ponce de Leon BLVD,132,Plummer Building,892107.03200000001,501012.946,,,07000651,###,#N/A,,,,,
6001 San Aamro DR,85,Cobb Stadium,892265.92099999997,502165.49699999997,,,07000651,###,32,,,,,
6200 San Amaro DR,96,Theater Arts - Dance Studio,892059.28200000001,501423.57299999997,,,07000651,###,28,,,,,
"6201 San Amaro DR, Media",86,Baseball Media Building,892308.39399999997,501558.28899999999,,,07000651,###,14tpw,,,,,
"6201 San Amaro DR, Stadium",87,Mark Light Baseball Stadium,892389.13100000005,501428.88400000002,,,07000656,###,#N/A,,,,,
A23,134,grid A23,891391.63300000003,500903.85,,,07000656,###,47,,,,,
A24,135,grid A24,891468.09600000002,500806.63299999997,,,07000658,###,#N/A,,,,,
A27,900,grid A27,891725.57200000004,500535.467,,,07000658,###,27un,,,,,
A28,901,grid A28,891799.84,500453.98499999999,,,07000659,###,#N/A,,,,,
AA10,136,grid AA10,892683.29200000002,504192.60800000001,,,07000659,###,27,,,,,
AA11,137,grid AA11,892750.68099999998,504106.47399999999,,,07000661,###,#N/A,,,,,
