address,fid,building_name,x,y
6200 San Amaro DR,96,Theater Arts - Dance Studio,892059.28200000001,501423.57299999997
"6201 San Amaro DR, Media",86,Baseball Media Building,892308.39399999997,501558.28899999999
"6201 San Amaro DR, Stadium",87,Mark Light Baseball Stadium,892389.13100000005,501428.88400000002
A23,134,grid A23,891391.63300000003,500903.85
A24,135,grid A24,891468.09600000002,500806.63299999997
A27,900,grid A27,891725.57200000004,500535.467
A28,901,grid A28,891799.84,500453.98499999999
AA10,136,grid AA10,892683.29200000002,504192.60800000001
AA11,137,grid AA11,892750.68099999998,504106.47399999999
AA14,138,grid AA14,892985.08900000004,503836.90500000003
AA15,139,grid AA15,893063.87800000003,503749.40100000001
AA16,140,grid AA16,893151.41899999999,503661.43900000001
AA18,141,grid AA18,893334.79399999999,503476.30300000001
AA19,142,grid AA19,893408.978,503384.65299999999
AA20,143,grid AA20,893491.45400000003,503283.79100000003
AA21,144,grid AA21,893561.49100000004,503196.74599999998
AA22,145,grid AA22,893653.179,503104.17800000001
AA23,146,grid AA23,893735.65500000003,503003.31699999998
AA24,147,grid AA24,893819.049,502919.96
AA25,148,grid AA25,893905.67299999995,502814.49300000002
AA26,149,grid AA26,893975.71,502727.44799999997
AA27,952,grid AA27,894072.25899999996,502642.625
AA28,953,grid AA28,894144.19900000002,502565.4
B22,150,grid B22,891400.76699999999,501078.13799999998
B23,151,grid B23,891483.34400000004,500986.42700000003
B24,152,grid B24,891559.80700000003,500889.21
B27,902,grid B27,891826.58100000001,500619.071
B28,903,grid B28,891895.97900000005,500541.99699999997
BB10,153,grid BB10,892762.50199999998,504278.60700000002
BB11,154,grid BB11,892850.04299999995,504190.64500000002
BB12,155,grid BB12,892917.30500000005,504103.12199999997
BB13,156,grid BB13,892999.32700000005,504024.848
BB14,157,grid BB14,893077.65700000001,503928.59299999999
BB15,158,grid BB15,893168.88600000006,503827.272
BB16,159,grid BB16,893255.96799999999,503730.55800000002
BB17,160,grid BB17,893335.21600000001,503651.80599999998
BB18,161,grid BB18,893425.76699999999,503543.26699999999
BB19,162,grid BB19,893506.19099999999,503461.01699999999
BB21,163,grid BB21,893658.20499999996,503283.82799999998
BB22,164,grid BB22,893749.89300000004,503194.26
BB23,165,grid BB23,893832.82900000003,503099.15100000001
BB24,166,grid BB24,893919.91099999996,503002.43699999998
BB25,167,grid BB25,894002.84600000002,502910.32799999998
BB26,168,grid BB26,894077.03,502818.67700000003
BB27,954,grid BB27,894166.76300000004,502730.12300000002
BB28,955,grid BB28,894239.76800000004,502649.04300000001
C21,169,grid C21,891406.88399999996,501251.14199999999
C22,170,grid C22,891506.93700000003,501160.13400000002
C23,171,grid C23,891577.98300000001,501061.11700000003
C24,172,grid C24,891658.24199999997,500988.91200000001
C27,904,grid C27,891915.96,500701.99599999998
C28,905,grid C28,891990.36199999996,500622.08299999998
CC10,173,grid CC10,892855.07,504370.29499999998
CC11,174,grid CC11,892952.28899999999,504257.32699999999
CC12,175,grid CC12,893021.00100000005,504183.50799999997
CC13,176,grid CC13,893099.07700000005,504104.50900000002
CC14,177,grid CC14,893187.27099999995,504010.61099999998
CC15,178,grid CC15,893266.06,503923.10700000002
CC16,179,grid CC16,893356.83,503813.03499999997
CC17,180,grid CC17,893431.47199999995,503730.136
CC18,181,grid CC18,893524.25699999998,503631.94799999997
CC19,182,grid CC19,893580.29700000002,503555.58799999999
CC20,183,grid CC20,893681.196,503471.31300000002
CC22,184,grid CC22,893847.75300000003,503274.16899999999
CC23,185,grid CC23,893933.69,503181.62800000003
CC24,186,grid CC24,894020.772,503084.913
CC25,187,grid CC25,894090.80900000001,502997.86800000002
CC26,188,grid CC26,894173.74399999995,502905.75900000002
CC27,956,grid CC27,894257.147,502811.50599999999
CC28,957,grid CC28,894331.61300000001,502734.14799999999
D19,189,grid D19,891377.38800000004,501524.50599999999
D20,190,grid D20,891434.85499999998,501421.20500000002
D21,191,grid D21,891510.90099999995,501326.69
D22,192,grid D22,891596.94900000002,501241.18099999998
D24,193,grid D24,891745.03700000001,501066.65600000002
D27,906,grid D27,892015.75100000005,500786.95199999999
D28,907,grid D28,892081.36199999996,500711.36499999999
DD10,194,grid DD10,892946.59699999995,504456.70799999998
DD11,195,grid DD11,893021.81299999997,504350.69400000002
DD14,196,grid DD14,893269.64099999995,504093.717
DD15,197,grid DD15,893359.07,503992.174
DD16,198,grid DD16,893446.69099999999,503894.86200000002
DD17,199,grid DD17,893522.88199999998,503810.24300000002
DD18,200,grid DD18,893607.14099999995,503723.93800000002
DD19,201,grid DD19,893698.95799999998,503637.74099999998
DD20,202,grid DD20,893770.92500000005,503543.272
DD21,203,grid DD21,893854.31499999994,503442.15
DD22,204,grid DD22,893942.35600000003,503352.87900000002
DD23,205,grid DD23,894010.50699999998,503268.68099999998
DD24,206,grid DD24,894094.31700000004,503175.6
DD25,207,grid DD25,894189.55700000003,503069.826
DD26,208,grid DD26,894278.02,502988.59499999997
DD27,958,grid DD27,894355.24199999997,502895.01699999999
DD28,959,grid DD28,894424.65599999996,502817.924
DD9,209,grid DD9,892875.41099999996,504535.76699999999
E18,210,grid E18,891372.77399999998,501691.28100000002
E19,211,grid E19,891448.821,501596.766
E20,212,grid E20,891529.86800000002,501506.755
E21,213,grid E21,891614.91899999999,501402.239
E22,214,grid E22,891686.96100000001,501322.228
E23,215,grid E23,891786.51599999995,501221.717
E24,216,grid E24,891854.05599999998,501146.70699999999
E25,217,grid E25,891949.60699999996,501060.7
E26,218,grid E26,892044.16099999996,500955.68599999999
E27,908,grid E27,892105.26399999997,500872.44699999999
E28,909,grid E28,892179.53200000001,500789.96399999998
EE10,219,grid EE10,893044.527,504528.69699999999
EE11,220,grid EE11,893130.54500000004,504431.59899999999
EE13,221,grid EE13,893284.26399999997,504271.56800000003
EE14,222,grid EE14,893367.45400000003,504171.00099999999
EE15,223,grid EE15,893459.54,504080.08500000002
EE16,224,grid EE16,893540.33200000005,503979
EE17,225,grid EE17,893629.62100000004,503875.913
EE19,226,grid EE19,893795.69099999999,503718.109
EE20,227,grid EE20,893860.66700000002,503623.23300000001
EE21,228,grid EE21,893952.75300000003,503532.31699999998
EE22,229,grid EE22,894039.19200000004,503436.31599999999
EE23,230,grid EE23,894110.37800000003,503357.25699999998
EE24,231,grid EE24,894201.902,503255.609
EE25,232,grid EE25,894293.42599999998,503153.962
EE26,233,grid EE26,894367.34699999995,503066.625
EE27,960,grid EE27,894442.03500000003,502980.38699999999
EE28,961,grid EE28,894515.04,502899.30699999997
EE9,234,grid EE9,892956.06499999994,504609.92800000001
F17,235,grid F17,891372.23600000003,501862.83799999999
F20,236,grid F20,891624.38199999998,501582.80099999998
F21,237,grid F21,891687.91700000002,501522.29499999998
F22,238,grid F22,891786.47600000002,501402.777
F23,239,grid F23,891859.51399999997,501341.77299999999
F24,240,grid F24,891943.56900000002,501218.25099999999
F26,241,grid F26,892124.17200000002,501027.728
F27,910,grid F27,892194.37300000002,500950.23200000002
F28,911,grid F28,892271.21100000001,500867.61499999999
FF10,242,grid FF10,893139.59299999999,504600.86499999999
FF12,243,grid FF12,893292.43299999996,504431.11900000001
FF13,244,grid FF13,893363.86100000003,504341.75
FF14,245,grid FF14,893445.27300000004,504261.37300000002
FF15,246,grid FF15,893530.68400000001,504166.51400000002
FF16,247,grid FF16,893620.59,504066.66399999999
FF17,248,grid FF17,893710.49600000004,503966.81300000002
FF18,249,grid FF18,893791.41099999996,503876.94699999999
FF19,250,grid FF19,893858.34400000004,503792.57199999999
FF20,251,grid FF20,893953.24199999997,503697.21600000001
FF21,252,grid FF21,894029.16500000004,503602.85499999998
FF22,253,grid FF22,894110.08,503512.99
FF23,254,grid FF23,894200.48400000005,503422.62699999998
FF24,255,grid FF24,894281.39899999998,503332.761
FF25,256,grid FF25,894371.80200000003,503242.39799999999
FF26,257,grid FF26,894452.22,503143.04499999998
FF27,962,grid FF27,894535.87800000003,503055.255
FF28,963,grid FF28,894605.29200000002,502978.163
FF8,258,grid FF8,892980.41099999996,504793.91499999998
FF9,259,grid FF9,893045.19200000004,504705.70799999998
G16,260,grid G16,891381.201,502033.897
G17,261,grid G17,891462.24800000002,501943.88500000001
G18,262,grid G18,891538.79200000002,501858.87400000001
G19,263,grid G19,891627.76800000004,501776.32799999998
G21,264,grid G21,891785.93799999997,501574.33399999997
G22,265,grid G22,891871.48699999996,501479.32199999999
G23,266,grid G23,891957.03700000001,501384.30900000001
G24,267,grid G24,892024.07799999998,501299.79599999997
G25,268,grid G25,892123.13500000001,501189.78200000001
G26,269,grid G26,892205.179,501118.77600000001
G27,912,grid G27,892283.61699999997,501030.58799999999
G28,913,grid G28,892348.95799999998,500949.86099999998
GG10,270,grid GG10,893235.24699999997,504689.53499999997
GG11,271,grid GG11,893303.36800000002,504602.951
GG12,272,grid GG12,893383.77899999998,504523.201
GG13,273,grid GG13,893468.29500000004,504431.16700000002
GG14,274,grid GG14,893556.52800000005,504321.788
GG15,275,grid GG15,893628.74899999995,504249.21899999998
GG16,276,grid GG16,893714.65500000003,504161.45299999998
GG17,277,grid GG17,893796.00399999996,504055.82400000002
GG18,278,grid GG18,893877.73100000003,503957.41499999998
GG19,279,grid GG19,893956.79399999999,503877.24699999997
GG20,280,grid GG20,894038.522,503778.83899999998
GG21,281,grid GG21,894121.38500000001,503702.092
GG22,282,grid GG22,894203.11199999996,503603.68400000001
GG23,283,grid GG23,894291.647,503530.69799999997
GG24,284,grid GG24,894370.745,503417.50799999997
GG25,285,grid GG25,894459.69299999997,503318.772
GG27,964,grid GG27,894627.723,503140.36
GG28,965,grid GG28,894702.98899999994,503054.09600000002
GG7,286,grid GG7,892974.94400000002,504967.70199999999
GG8,287,grid GG8,893050.20799999998,504884.11300000001
H11,288,grid H11,893406.73800000001,504670.967
H15,289,grid H15,891381.16,502214.95699999999
H16,290,grid H16,891464.71799999999,502081.93099999998
H17,291,grid H17,891537.755,502020.92700000003
H18,292,grid H18,891637.31099999999,501920.41600000003
H19,293,grid H19,891704.85,501845.40600000002
H20,294,grid H20,891781.39500000002,501760.39500000002
H21,295,grid H21,891885.45299999998,501654.88299999997
H22,296,grid H22,891966.5,501564.87099999998
H23,297,grid H23,892034.03899999999,501489.86099999998
H24,298,grid H24,892123.59299999999,501380.34499999997
H25,299,grid H25,892205.14300000004,501285.33299999998
H27,914,grid H27,892368.93799999997,501109.86
H28,915,grid H28,892439.68799999997,501034.00300000003
HH10,300,grid HH10,893325.11600000004,504782.66600000003
HH12,301,grid HH12,893482.20499999996,504608.2
HH13,302,grid HH13,893547.69200000004,504514.42099999997
HH14,303,grid HH14,893641.11300000001,504418.64
HH15,304,grid HH15,893723.53599999996,504317.29300000001
HH16,305,grid HH16,893816.49600000004,504229.30499999999
HH17,306,grid HH17,893887.45600000001,504135.24200000003
HH18,307,grid HH18,893971.73800000001,504050.37199999997
HH19,308,grid HH19,894050.75699999998,503957.66700000002
HH20,309,grid HH20,894134.64599999995,503859.55300000001
HH21,310,grid HH21,894199.59900000005,503757.745
HH22,311,grid HH22,894296.51899999997,503684.72100000002
HH23,312,grid HH23,894389.755,503586.11700000003
HH24,313,grid HH24,894462.32900000003,503495.62400000001
HH25,314,grid HH25,894557.53399999999,503389.88799999998
HH26,315,grid HH26,894630.35400000005,503304.06900000002
HH27,966,grid HH27,894715.58200000005,503221.875
HH28,967,grid HH28,894791.11199999996,503140.663
HH6,316,grid HH6,892990.88,505133.397
HH7,317,grid HH7,893062.71100000001,505053.60800000001
HH8,318,grid HH8,893146.78099999996,504965.47200000001
I13,319,grid I13,891347.09100000001,502474.03499999997
I15,320,grid I15,891464.92700000003,502258.62800000003
I16,321,grid I16,891547.71600000001,502210.99300000002
I17,322,grid I17,891650.77800000005,502086.47399999999
I18,323,grid I18,891722.32200000004,501996.96
I19,324,grid I19,891794.36399999994,501916.95
I20,325,grid I20,891889.41700000002,501821.43900000001
I21,326,grid I21,891970.46400000004,501731.42800000001
I22,327,grid I22,892051.51100000006,501641.41600000003
I23,328,grid I23,892137.06,501546.40299999999
I24,329,grid I24,892213.60499999998,501461.39199999999
I25,330,grid I25,892308.16,501356.37800000003
I26,331,grid I26,892375.69900000002,501281.36800000002
I27,916,grid I27,892461.02099999995,501195.22
I28,917,grid I28,892532.98800000001,501118.011
II11,332,grid II11,893495.22900000005,504757.609
II12,333,grid II12,893545.174,504682.36
II13,334,grid II13,893640.89099999995,504596.46399999998
II15,335,grid II15,893817.74899999995,504384.52899999998
II16,336,grid II16,893888.6,504305.89299999998
II17,337,grid II17,893977.16299999994,504207.533
II18,338,grid II18,894066.21499999997,504118.52
II19,339,grid II19,894138.79,504028.02799999999
II20,340,grid II20,894223.90399999998,503953.27899999998
II21,341,grid II21,894303.12100000004,503855.40899999999
II22,342,grid II22,894389.71499999997,503764.18199999997
II23,343,grid II23,894471.14599999995,503663.85399999999
II24,344,grid II24,894555.52500000002,503575.08600000001
II25,345,grid II25,894634.98699999996,503481.89
II26,346,grid II26,894723.55,503383.53100000002
II27,968,grid II27,894808.35900000005,503300.59899999999
II28,969,grid II28,894876.44400000002,503222.31
II5,347,grid II5,892982.799,505306.94
II6,348,grid II6,893073.821,505210.79499999998
II8,349,grid II8,893246.51899999997,505018.995
II9,350,grid II9,893318.00600000005,504956.85600000003
J12,351,grid J12,891342.54799999995,502660.09600000002
J13,352,grid J13,891392.07700000005,502605.08899999998
J14,353,grid J14,891498.64500000002,502456.56300000002
J15,354,grid J15,891569.19299999997,502348.04300000001
J16,355,grid J16,891674.24699999997,502261.538
J17,356,grid J17,891736.78599999996,502182.02500000002
J18,357,grid J18,891808.82700000005,502102.01500000001
J19,358,grid J19,891898.88,502002.00099999999
J20,359,grid J20,891979.92700000003,501911.99
J21,360,grid J21,892050.97199999995,501812.973
J22,361,grid J22,892137.02,501727.46299999999
J23,362,grid J23,892222.57,501632.451
J25,363,grid J25,892385.16200000001,501461.93
J26,364,grid J26,892488.22400000005,501337.41200000001
J27,918,grid J27,892554.05200000003,501274.08799999999
J28,919,grid J28,892625.88399999996,501194.31
JJ12,365,grid JJ12,893644.549,504747.19199999998
JJ13,366,grid JJ13,893728.78099999996,504662.152
JJ17,367,grid JJ17,894066.84900000005,504290.26400000002
JJ18,368,grid JJ18,894131.75199999998,504197.59
JJ19,369,grid JJ19,894215.56299999997,504104.50900000002
JJ20,370,grid JJ20,894307.83499999996,504019.04700000002
JJ24,371,grid JJ24,894643.07799999998,503646.72200000001
JJ25,372,grid JJ25,894718.848,503554.06300000002
JJ27,970,grid JJ27,894891.03300000005,503379.85200000001
JJ28,971,grid JJ28,894962.70900000003,503297.576
JJ3,373,grid JJ3,892923.71400000004,505565.41800000001
JJ4,374,grid JJ4,892996.92200000002,505466.45500000002
JJ5,375,grid JJ5,893076.92299999995,505377.60499999998
JJ6,376,grid JJ6,893149.72600000002,505305.25699999998
JJ8,377,grid JJ8,893342.49699999997,505105.93099999998
JJ9,378,grid JJ9,893392.27399999998,505010.35499999998
K11,379,grid K11,891341.01300000004,502812.64600000001
K13,380,grid K13,891478.60199999996,502619.61300000001
K14,381,grid K14,891583.15800000005,502523.60399999999
K15,382,grid K15,891636.69200000004,502454.09299999999
K16,383,grid K16,891736.24699999997,502353.58199999999
K17,384,grid K17,891816.79599999997,502254.06699999998
K18,385,grid K18,891902.84400000004,502168.55800000002
K19,386,grid K19,891988.39300000004,502073.54499999998
K20,387,grid K20,892064.93799999997,501988.53399999999
K21,388,grid K21,892141.48199999996,501903.52299999999
K22,389,grid K22,892227.03200000001,501808.51
K23,390,grid K23,892307.58100000001,501708.995
K24,391,grid K24,892393.62899999996,501623.48599999998
K25,392,grid K25,892469.67500000005,501528.97200000001
K26,393,grid K26,892573.23499999999,501413.95699999999
K27,920,grid K27,892640.32200000004,501346.86900000001
K28,921,grid K28,892709.98899999994,501274.935
KK12,394,grid KK12,893725.35800000001,504827.61499999999
KK13,395,grid KK13,893809.59,504742.57400000002
KK17,396,grid KK17,894157.27,504365.29599999997
KK18,397,grid KK18,894232.03099999996,504264.89799999999
KK19,398,grid KK19,894308.223,504180.27899999998
KK2,399,grid KK2,892938.46299999999,505735.58500000002
KK20,400,grid KK20,894384.41399999999,504095.65899999999
KK22,401,grid KK22,894555.84499999997,503905.266
KK23,402,grid KK23,894634.995,503819.39899999998
KK24,403,grid KK24,894719.65599999996,503723.33500000002
KK25,404,grid KK25,894813.52099999995,503632.48300000001
KK26,405,grid KK26,894899.549,503540.56099999999
KK27,972,grid KK27,894979.82299999997,503454.98599999998
KK28,973,grid KK28,895052.696,503371.38
