case,fid,signal
12006457,23,27
12006397,384,14
12006458,546,14
12006445,367,38
12006375,72,35
12006371,70,35
12006370,130,35
12006435,74,14
12006652,108,14
12006632,70,33
12006533,16,32
12006595,865,27
12006504,74,14
12006599,41,27
12006611,67,14
12006653,76,14
12006667,103,34
12006669,70,14
12006715,73,27
12006707,71,14
12006633,284,27
12006815,545,14
12006861,897,27
12006845,172,27
12006854,16,27
12007012,878,14
12007022,296,22
12007101,886,14
12006789,488,35
12006808,944,13
12006809,74,32
12007109,678,17
12007082,18,27
12007069,61,14
12007074,72,14
12007134,588,33
12007073,970,28
12007236,74,26
12007273,70,14
12007269,74,27
12007296,91,27
12007455,228,27
12007431,80,14
12007439,29,14
12007443,16,27
12007545,71,14
12007830,107,27
12007835,76,41
12007840,395,26
12007696,897,27
12007692,92,14
12007693,45,14
12007703,16,27
12007679,7,27
12007628,55,43
12007653,70,14
12007585,431,34
12007646,55,43
12007616,71,14
12007399,323,22
12007314,14,14
12007395,47,35
12007616,71,14
12007138,72,35
12007142,73,35
12007393,74,14
12007194,71,14
12007684,661,14
12007698,877,41
12007864,71,26
12007892,16,14
12007590,431,51
12007746,570,35
12007747,16,14
12007930,74,14
12007958,71,27
12007999,131,41
12008006,131,34
12007711,827,27
12008040,70,27
12008066,551,14
12008112,649,14
12008097,30,26
12008724,464,14
12008722,686,43
12009297,74,14
12008658,94,14
12008485,889,14
12008620,72,32
12008646,122,14
12008552,22,27
12008582,127,28
12008237,74,54
12008036,81,35
12008506,129,26
12008189,33,41
12008301,889,27
12008306,48,14
12008404,81,27
12008548,798,26
12008102,238,38
12008778,131,27
12008907,40,28
12008915,19,14
12008922,74,14
12008963,81,14
12009242,54,17
12009232,469,17
12009153,433,32
12009152,433,32
12009217,102,14
12009216,74,14
12009221,102,14
12009252,131,26
12009243,877,14
12009256,74,14
12009238,131,27
12009069,81,27
12009102,865,38
12009104,74,14
12008639,76,35
12009575,607,34
12009608,279,27
12009588,884,27
12009620,286,17
12009482,16,27
12009694,16,27
12009680,16,27
12009745,130,26
12009788,81,27
13000243,261,14
12010217,81,27
12010220,81,26
12008842,12,14
13000243,261,14
13000466,54,17
13000565,596,14
13000895,13,27
13000939,81,27
13001068,123,14
13001070,81,41
13001052,70,14
13001075,76,35
13001095,105,27
13001137,102,14
13001187,931,27
13001188,916,27
13001186,71,14
13001158,45,41
13001184,71,41
13001300,35,14
13001337,889,27
13001323,281,41
13001357,16,27
13001435,823,34
13001512,29,27
13001569,70,14
13001426,28,14
13001422,18,27
13001579,99,17
13001586,132,27
13001623,81,27
13001704,76,27
13001626,74,14
13001748,132,14
13001716,35,41
13001680,87,38
13001944,825,43
13001596,200,14
13001984,71,14
13002049,130,28
13002178,123,14
13002159,7,41
13002213,103,27
13002227,18,27
13002162,130,14
13002163,130,14
13002133,884,14
13002317,131,26
13002315,70,26
13002316,131,26
13002325,67,18
13002378,10,27
13002573,302,27
13002454,96,14
13002721,82,27
13002629,528,26
13002590,108,14
13002558,72,27
13002594,130,14
13002569,104,27
13002644,81,27
13002706,528,28
13003099,72,27
13003033,105,27
13003008,71,28
13002814,20,14
13002823,131,27
13002789,128,27
13002604,948,27
13002124,76,14
13003126,102,27
13002992,27,14
13003017,81,27
13003189,16,27
13003255,73,14
13003271,294,17
13003382,87,17
13003491,81,27
13003455,74,14
13003443,639,14
13003526,261,27
13003567,81,27
13003769,131,27
13003933,14,17
13004186,41,14
13004146,81,27
13004231,122,17
13004289,104,27
13004397,123,14
13004519,454,14
13004570,18,27
13004683,447,28
13004713,107,27
13006986,18,26
13007321,81,41
13007323,324,35
13007431,129,26
13007440,130,27
13007613,788,27
13007620,7,14
13007303,637,14
13007298,128,27
13005455,70,14
13006599,76,35
13006533,572,14
13006297,48,27
13006340,81,27
13006324,76,14
13006342,104,14
13006262,71,32
13006265,71,14
13006458,81,14
13006514,76,41
13005924,12,14
13006357,397,14
13006622,129,14
13006879,102,27
13006599,70,14
13007071,54,14
13006908,302,14
13006901,81,27
13006953,73,14
13007109,388,17
13006940,751,39
13007148,267,17
13007248,123,14
13006940,827,39
13007333,47,27
13007332,40,27
13007474,55,43
13007652,20,14
13007661,123,14
13007606,70,28
13007863,800,17
13007903,16,14
13008063,302,27
13008053,61,14
13007894,17,41
13008064,129,27
13008062,877,14
13008261,677,27
13008403,74,14
13008456,130,14
13008305,883,14
13008478,71,14
13008493,48,27
13008546,81,14
13009180,67,28
13008587,16,27
13009205,128,14
13009189,239,26
13009011,67,14
13009015,261,27
13008997,81,41
13008869,127,27
13008659,68,14
13008701,123,14
13008698,123,14
13009699,673,38
13009473,81,27
13009584,162,14
13009384,73,39
13009392,290,33
13009375,61,27
13009304,365,27
13009209,22,27
14000261,123,14
14000287,27,27
14000319,82,14
14000302,123,27
14000313,81,27
14000301,76,14
14000476,548,26
14000489,54,27
14000528,692,27
14000723,98,14
14000709,130,14
14000765,28,14
14000934,104,27
14000945,687,28
14001522,73,32
14001550,65,14
14001552,81,27
14001190,127,14
14001199,97,41
14001184,97,28
14001152,97,27
14001197,734,27
14001289,54,27
14000979,71,28
14001161,73,27
14001712,29,27
14001766,722,27
14001749,860,14
14001981,123,14
14002094,130,27
14002163,122,17
14002354,55,43
14002317,7,27
14002154,129,27
14001401,526,17
14002123,853,17
14002731,299,14
14002691,16,27
14002864,83,27
14002906,22,41
14003081,76,14
14003072,82,14
14003068,174,49
14003736,65,27
14003744,72,14
14003753,2,27
14003948,74,27
14003786,95,27
14004130,105,27
